Time Elapsed (s),X Position (m),Y Position (m),Eccentric Anomaly (rad),Orbital Radius (m),Orbital Velocity (m/s),Gravitational Potential Energy (J),Kinetic Energy (J),Mechanical Energy (J)
10553240.0493696,-80038962179.1631,127918114620.33768,2.1156813890322876,150894928724.39203,29660.80483436061,-5.253946686916361e+33,2.626973343458181e+33,-2.626973343458181e+33
10658772.449863296,-82686930292.7025,126275486531.10706,2.136511992897448,150939149791.88812,29656.459611346516,-5.252407423369539e+33,2.6262037116847696e+33,-2.6262037116847696e+33
10764304.850356992,-85299349503.08952,124578569518.07866,2.157336535589626,150982777192.7016,29652.174593700543,-5.250889707984012e+33,2.6254448539920063e+33,-2.625444853992005e+33
10869837.250850687,-87875128443.47331,122828139536.55045,2.17815510374158,151025792701.006,29647.951493210418,-5.249394137685722e+33,2.624697068842861e+33,-2.624697068842861e+33
10975369.651344383,-90413192922.51535,121024993550.69032,2.19896778633164,151068178377.806,29643.791991649276,-5.247921298562984e+33,2.6239606492814906e+33,-2.623960649281493e+33
11080902.05183808,-92912486288.92651,119169949146.27391,2.219774674640466,151109916577.02505,29639.697740348558,-5.246471765735443e+33,2.6232358828677214e+33,-2.6232358828677214e+33
11186434.452331776,-95371969787.12665,117263844138.87015,2.2405758622073053,151150989951.445,29635.670359786745,-5.245046103228786e+33,2.622523051614393e+33,-2.622523051614393e+33
11291966.852825472,-97790622904.05351,115307536177.67645,2.2613714447857625,151191381458.49768,29631.71143919377,-5.243644863855043e+33,2.6218224319275216e+33,-2.6218224319275216e+33
11397499.253319168,-100167443707.1546,113301902345.2001,2.2821615202991046,151231074365.9095,29627.822536170563,-5.242268589098325e+33,2.621134294549162e+33,-2.621134294549163e+33
11503031.653812863,-102501449173.5982,111247838752.97533,2.3029461887951252,151270052257.19907,29624.00517632359,-5.240917809005849e+33,2.620458904502925e+33,-2.620458904502924e+33
11608564.05430656,-104791675510.74355,109146260133.50227,2.323725552400585,151308299037.02942,29620.260852913816,-5.239593042084103e+33,2.619796521042051e+33,-2.619796521042052e+33
