Time Elapsed (s),Distance Between Both Masses (m),Distance of Star 1 from Barycenter (m),Distance of Star 2 from Barycenter (m),Scalar Velocity of Star 1 (m/s),Scalar Velocity of Star 2 (m/s),Kinetic Energy of Star 1 (J),Kinetic Energy of Star 2 (J),Total Kinetic Energy (J),Gravitational Potential Energy (J),Total Mechanical Energy (J),Acceleration of Star 1 (m/s^2),Acceleration of Star 2 (m/s^2),Relative Acceleration (m/s^2),Angular Velocity of Star 1 (rad/s),Angular Velocity of Star 2 (rad/s)
184550777.20842952,3790704591902.4023,2529461461542.102,1261243130360.301,8002.727393160042,3990.329602656135,6.369140567772333e+37,3.1757885658809655e+37,9.544929133653298e+37,-1.3969620292602163e+38,-4.424691158948863e+37,1.8528056963712267e-05,9.238482151121508e-06,2.7766539114833774e-05,3.163806808221197e-09,3.163806808221197e-09
193778316.06885096,3810138729296.1157,2542429473262.3296,1267709256033.7864,7972.800805926953,3975.4075715689924,6.321594215118903e+37,3.152080946069566e+37,9.47367516118847e+37,-1.3898366320137335e+38,-4.424691158948863e+37,1.8339529185844055e-05,9.144478202718432e-06,2.748400738856249e-05,3.1358985135177097e-09,3.1358985135177097e-09
203005854.92927244,3830319971695.3237,2555896013230.62,1274423958464.7039,7941.927673008835,3960.013572728647,6.272730697990536e+37,3.127716560116113e+37,9.40044725810665e+37,-1.3825138417055512e+38,-4.424691158948863e+37,1.8146783172675433e-05,9.048370952732873e-06,2.7195154125408304e-05,3.1072968664990165e-09,3.1072968664990165e-09
212233393.78969392,3851224377906.32,2569845105966.596,1281379271939.724,7910.164399511556,3944.1757309171435,6.222656197274987e+37,3.1027483520631606e+37,9.325404549338146e+37,-1.375009570828701e+38,-4.424691158948863e+37,1.7950316728777777e-05,8.950408617081724e-06,2.69007253458595e-05,3.0780704958232512e-09,3.0780704958232512e-09
221460932.6501154,3872827808790.041,2584260643904.897,1288567164885.1443,7877.566931199463,3927.9219418791004,6.171475242137193e+37,3.0772284423692343e+37,9.248703684506427e+37,-1.3673394843455291e+38,-4.424691158948863e+37,1.7750614152757914e-05,8.850832677321506e-06,2.660144683007942e-05,3.048286537884282e-09,3.048286537884281e-09
230688471.51053688,3895106002428.985,2599126437552.563,1295979564876.422,7844.190546397876,3911.2797685598835,6.119290303889271e+37,3.051207925403801e+37,9.170498229293071e+37,-1.3595189388241934e+38,-4.424691158948863e+37,1.7548144325520673e-05,8.749876927415547e-06,2.629802125293622e-05,3.01801037189413e-09,3.01801037189413e-09
239916010.37095836,3918034645181.138,2614426262901.9004,1303608382279.238,7810.089667505945,3894.2763471219164,6.066201436110345e+37,3.024736690003379e+37,9.090938126113725e+37,-1.3515629285062588e+38,-4.424691158948863e+37,1.7343359089142078e-05,8.647766665405764e-06,2.5991125754547843e-05,2.9873053902224355e-09,2.987305390222435e-09
249143549.23137984,3941589438411.6895,2630143905959.222,1311445532452.4675,7775.317692244078,3876.9383028010707,6.012305960663949e+37,2.99786326291316e+37,9.010169223577108e+37,-1.343486038252597e+38,-4.424691158948863e+37,1.713669190795622e-05,8.544718025802184e-06,2.5681409933758403e-05,2.9562328033181874e-09,2.9562328033181874e-09
258371088.0918013,3965746160757.9214,2646263204292.966,1319482956464.9558,7739.926844486918,3859.291675528824,5.957698198644016e+37,2.970634674630972e+37,8.928332873274987e+37,-1.3353024032223851e+38,-4.424691158948863e+37,1.692855679989835e-05,8.440937446727957e-06,2.5369494246626306e-05,2.9248514780882833e-09,2.9248514780882833e-09
267598626.95222276,3990480725842.365,2662768085544.5293,1327712640297.8362,7703.968044294112,3841.361855126846,5.902469244755356e+37,2.9430963469086e+37,8.845565591663955e+37,-1.3270256750612821e+38,-4.424691158948863e+37,1.6719347523274122e-05,8.336621264425227e-06,2.505596878769935e-05,2.8932178082338214e-09,2.8932178082338218e-09
